Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,1290.000000,1292.000000,1280.000000,1283.000000,1246.699219,1370700
2019-06-11,1281.000000,1297.000000,1276.000000,1290.000000,1253.501221,943400
2019-06-12,1291.000000,1304.000000,1289.000000,1299.000000,1262.246460,1093200
2019-06-13,1300.000000,1308.000000,1294.000000,1305.000000,1268.076660,1263500
2019-06-14,1310.000000,1323.000000,1302.000000,1313.000000,1275.850464,1667000
2019-06-17,1320.000000,1329.000000,1318.000000,1324.000000,1286.539063,1399000
2019-06-18,1324.000000,1340.000000,1320.000000,1324.000000,1286.539063,1601900
2019-06-19,1335.000000,1344.000000,1329.000000,1332.000000,1294.312866,1315600
2019-06-20,1342.000000,1353.000000,1336.000000,1348.000000,1309.860107,1200300
2019-06-21,1363.000000,1369.000000,1348.000000,1359.000000,1320.548828,2641300
2019-06-24,1353.000000,1354.000000,1327.000000,1346.000000,1307.916626,1370300
2019-06-25,1343.000000,1365.000000,1341.000000,1348.000000,1309.860107,1273500
2019-06-26,1350.000000,1368.000000,1343.000000,1348.000000,1309.860107,1498300
2019-06-27,1352.000000,1354.000000,1340.000000,1348.000000,1309.860107,867800
2019-06-28,1344.000000,1348.000000,1328.000000,1338.000000,1300.143066,1263900
2019-07-01,1367.000000,1373.000000,1362.000000,1365.000000,1326.379150,1267400
2019-07-02,1361.000000,1365.000000,1345.000000,1348.000000,1309.860107,1444600
2019-07-03,1344.000000,1346.000000,1323.000000,1334.000000,1296.256226,1272100
2019-07-04,1342.000000,1348.000000,1338.000000,1340.000000,1302.086426,792900
2019-07-05,1339.000000,1340.000000,1321.000000,1333.000000,1295.284424,809100
2019-07-08,1324.000000,1328.000000,1301.000000,1308.000000,1270.991821,1353000
2019-07-09,1310.000000,1320.000000,1309.000000,1316.000000,1278.765503,1062100
2019-07-10,1308.000000,1320.000000,1304.000000,1312.000000,1274.878662,1018800
2019-07-11,1314.000000,1327.000000,1308.000000,1327.000000,1289.454224,682200
2019-07-12,1326.000000,1332.000000,1314.000000,1316.000000,1278.765503,820000
2019-07-16,1286.000000,1292.000000,1253.000000,1264.000000,1228.236816,2259700
2019-07-17,1257.000000,1275.000000,1254.000000,1266.000000,1230.180176,1953900
2019-07-18,1255.000000,1266.000000,1222.000000,1230.000000,1195.198730,1830700
